SchoolName,DistrictNumber,Student,InitialGrade,InitialPlan,FinalGrade,FinalPlan
FREMONT ELEMENTARY SCHOOL,Arvada,1012,Kindergarten,Performance Plan,6th Grade,Performance Plan
WEBSTER ELEMENTARY SCHOOL,Colorado Springs,1013,Kindergarten,Performance Plan,6th Grade,Performance Plan
JAMES IRWIN CHARTER MIDDLE SCHOOL,Colorado Springs,1014,6th Grade,Performance Plan,8th Grade,Performance Plan
CASEY MIDDLE SCHOOL,Boulder,1015,6th Grade,Performance Plan,8th Grade,Performance Plan
COAL CREEK ELEMENTARY SCHOOL,Louisville,1016,Kindergarten,Performance Plan,5th Grade,Performance Plan
HOLM ELEMENTARY SCHOOL,Denver,1017,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
BERRY CREEK MIDDLE SCHOOL,Edwards,1018,6th Grade,Performance Plan,8th Grade,Performance Plan
FALCON MIDDLE SCHOOL,Peyton,1019,6th Grade,Performance Plan,8th Grade,Performance Plan
ORCHARD MESA MIDDLE SCHOOL,Grand Junction,1020,6th Grade,Performance Plan,8th Grade,Performance Plan
OLANDER ELEMENTARY SCHOOL,Fort Collins,1021,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
GOODNIGHT ELEMENTARY SCHOOL,Pueblo,1022,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
WIGGINS MIDDLE SCHOOL,Wiggins,1023,6th Grade,Performance Plan,8th Grade,Performance Plan
FITZMORRIS ELEMENTARY SCHOOL,Arvada,1024,Kindergarten,Performance Plan,6th Grade,Performance Plan
SLATER ELEMENTARY SCHOOL,Lakewood,1025,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
DUAL IMMERSION ACADEMY SCHOOL,Grand Junction,1026,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
MESA VALLEY VISION HOME AND COMMUNITY PROGRAM,Grand Junction,1027,Kindergarten,Performance Plan,12th Grade,Performance Plan
MESA VALLEY VISION HOME AND COMMUNITY PROGRAM,Grand Junction,1028,Kindergarten,Performance Plan,12th Grade,Performance Plan
MOUNTAIN RIDGE MIDDLE SCHOOL,Highlands Ranch,1029,7th Grade,Performance Plan,8th Grade,Performance Plan
WEST MIDDLE SCHOOL,Grand Junction,1030,6th Grade,Performance Plan,8th Grade,Performance Plan
WALT CLARK MIDDLE SCHOOL,Loveland,1031,6th Grade,Performance Plan,8th Grade,Performance Plan
ROCKY MOUNTAIN ACADEMY OF EVERGREEN,Evergreen,1032,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
ROCKY MOUNTAIN ACADEMY OF EVERGREEN,Evergreen,1033,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
YORK INTERNATIONAL,Thornton,1034,Kindergarten,Performance Plan,12th Grade,Performance Plan
YORK INTERNATIONAL,Thornton,1035,Kindergarten,Performance Plan,12th Grade,Performance Plan
CORTEZ MIDDLE SCHOOL,Cortez,1036,6th Grade,Performance Plan,8th Grade,Performance Plan
COTTONWOOD ELEMENTARY SCHOOL,Montrose,1037,Kindergarten,Performance Plan,5th Grade,Performance Plan
ASPEN CREEK K-8 SCHOOL,Broomfield,1038,Kindergarten,Performance Plan,8th Grade,Performance Plan
RUNNING CREEK ELEMENTARY SCHOOL,Elizabeth,1039,Kindergarten,Performance Plan,5th Grade,Performance Plan
GILPIN COUNTY UNDIVIDED HIGH SCHOOL,Black Hawk,1040,6th Grade,Performance Plan,12th Grade,Performance Plan
GRANADA UNDIVIDED HIGH SCHOOL,Granada,1041,7th Grade,Performance Plan,12th Grade,Performance Plan
APPLETON ELEMENTARY SCHOOL,Grand Junction,1042,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
KEARNEY MIDDLE SCHOOL,Commerce City,1043,6th Grade,Performance Plan,8th Grade,Performance Plan
BYERS JUNIOR-SENIOR HIGH SCHOOL,Byers,1044,7th Grade,Performance Plan,12th Grade,Performance Plan
ELLIS ELEMENTARY SCHOOL,Denver,1045,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
HEMPHILL MIDDLE SCHOOL,Strasburg,1046,6th Grade,Performance Plan,8th Grade,Performance Plan
TIMBERVIEW MIDDLE SCHOOL,Colorado Springs,1047,6th Grade,Performance Plan,8th Grade,Performance Plan
GLOBAL VILLAGE ACADEMY,Aurora,1048,Kindergarten,Performance Plan,7th Grade,Performance Plan
GLOBAL VILLAGE ACADEMY,Aurora,1049,Kindergarten,Performance Plan,7th Grade,Performance Plan
FOUNTAIN MIDDLE SCHOOL,Fountain,1050,6th Grade,Performance Plan,8th Grade,Performance Plan
STRAWBERRY PARK ELEMENTARY SCHOOL,Steamboat Springs,1051,Kindergarten,Performance Plan,5th Grade,Performance Plan
PRAIRIE MIDDLE SCHOOL,Aurora,1052,6th Grade,Performance Plan,8th Grade,Performance Plan
DENVER CENTER FOR INTERNATIONAL STUDIES,Denver,1053,6th Grade,Performance Plan,12th Grade,Performance Plan
SOUTH VALLEY MIDDLE SCHOOL,Platteville,1054,6th Grade,Performance Plan,8th Grade,Performance Plan
MOUNTAINSIDE ELEMENTARY SCHOOL,Fort Carson,1055,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
GRAND MESA MIDDLE SCHOOL,Grand Junction,1056,6th Grade,Performance Plan,8th Grade,Performance Plan
ARICKAREE ELEMENTARY SCHOOL,Anton,1057,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
CASTLE ROCK MIDDLE SCHOOL,Castle Rock,1058,7th Grade,Performance Plan,8th Grade,Performance Plan
KEN CARYL MIDDLE SCHOOL,Littleton,1059,7th Grade,Performance Plan,8th Grade,Performance Plan
LOCHBUIE ELEMENTARY SCHOOL,Lochbuie,1060,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
MANITOU SPRINGS ELEMENTARY SCHOOL,Manitou Springs,1061,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
ORCHARD AVENUE ELEMENTARY SCHOOL,Grand Junction,1062,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
RIDGEVIEW CLASSICAL CHARTER SCHOOLS,Fort Collins,1063,Kindergarten,Performance Plan,12th Grade,Performance Plan
COLUMBINE ELEMENTARY SCHOOL,Longmont,1064,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
EAGLEVIEW MIDDLE SCHOOL,Colorado Springs,1065,6th Grade,Performance Plan,8th Grade,Performance Plan
CENTURY ELEMENTARY SCHOOL,Aurora,1066,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
ASPEN CREEK K-8 SCHOOL,Broomfield,1067,Kindergarten,Performance Plan,8th Grade,Performance Plan
NORTH ELEMENTARY SCHOOL,Brighton,1068,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
MANDALAY MIDDLE SCHOOL,Westminster,1069,7th Grade,Performance Plan,8th Grade,Performance Plan
PAWNEE ELEMENTARY SCHOOL,Grover,1070,Kindergarten,Performance Plan,6th Grade,Performance Plan
DELTA VISION SCHOOL,Delta,1071,Kindergarten,Performance Plan,12th Grade,Performance Plan
DELTA VISION SCHOOL,Delta,1072,Kindergarten,Performance Plan,12th Grade,Performance Plan
GRANDVIEW ELEMENTARY SCHOOL,Windsor,1073,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
KENNETH P MORRIS ELEMENTARY SCHOOL,Yuma,1074,Kindergarten,Performance Plan,6th Grade,Performance Plan
CORRIDOR COMMUNITY ACADEMY,Bennett,1075,Kindergarten,Performance Plan,8th Grade,Performance Plan
CORRIDOR COMMUNITY ACADEMY,Bennett,1076,Kindergarten,Performance Plan,8th Grade,Performance Plan
SANBORN ELEMENTARY SCHOOL,Longmont,1077,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
BAYFIELD MIDDLE SCHOOL,Bayfield,1078,6th Grade,Performance Plan,8th Grade,Performance Plan
MANHATTAN MIDDLE SCHOOL OF THE ARTS AND ACADEMICS,Boulder,1079,6th Grade,Performance Plan,8th Grade,Performance Plan
MOREY MIDDLE SCHOOL,Denver,1080,6th Grade,Performance Plan,8th Grade,Performance Plan
SIERRA MIDDLE SCHOOL,Parker,1081,7th Grade,Performance Plan,8th Grade,Performance Plan
SPRINGS RANCH ELEMENTARY SCHOOL,Colorado Springs,1082,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
JORDAHL ELEMENTARY SCHOOL,Fountain,1083,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
MANITOU SPRINGS MIDDLE SCHOOL,Manitou Springs,1084,6th Grade,Performance Plan,8th Grade,Performance Plan
COMMUNITY LEADERSHIP ACADEMY,Commerce City,1085,Kindergarten,Performance Plan,8th Grade,Performance Plan
WASHINGTON ELEMENTARY SCHOOL,Canon City,1086,Kindergarten,Performance Plan,5th Grade,Performance Plan
HILL CAMPUS OF ARTS AND SCIENCES,Denver,1087,6th Grade,Performance Plan,8th Grade,Performance Plan
CENTENNIAL ELEMENTARY SCHOOL,Colorado Springs,1088,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
BELMAR ELEMENTARY SCHOOL,Lakewood,1089,Kindergarten,Performance Plan,6th Grade,Performance Plan
COTTONWOOD PLAINS ELEMENTARY SCHOOL,Ft Collins,1090,Kindergarten,Performance Plan,5th Grade,Performance Plan
SUNSET RIDGE ELEMENTARY SCHOOL,Westminster,1091,Kindergarten,Performance Plan,5th Grade,Performance Plan
ARROWHEAD ELEMENTARY SCHOOL,Aurora,1092,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
ROCKRIMMON ELEMENTARY SCHOOL,Colorado Springs,1093,Kindergarten,Performance Plan,5th Grade,Performance Plan
MANASSA ELEMENTARY SCHOOL,Manassa,1094,Kindergarten,Performance Plan,5th Grade,Performance Plan
AVONDALE ELEMENTARY SCHOOL,Avondale,1095,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
MOUNTAIN RIDGE MIDDLE SCHOOL,Colorado Springs,1096,6th Grade,Performance Plan,8th Grade,Performance Plan
LAREDO MIDDLE SCHOOL,Aurora,1097,6th Grade,Performance Plan,8th Grade,Performance Plan
FALCON BLUFFS MIDDLE SCHOOL,Littleton,1098,6th Grade,Performance Plan,8th Grade,Performance Plan
LEROY DRIVE ELEMENTARY SCHOOL,Northglenn,1099,Kindergarten,Performance Plan,5th Grade,Performance Plan
CACTUS VALLEY ELEMENTARY SCHOOL,Silt,1100,Pre-Kindergarten,Performance Plan,4th Grade,Performance Plan
WELCHESTER ELEMENTARY SCHOOL,Golden,1101,Kindergarten,Performance Plan,6th Grade,Performance Plan
GOLDRICK ELEMENTARY SCHOOL,Denver,1102,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
FLEMING ELEMENTARY SCHOOL,Fleming,1103,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
ALLENDALE ELEMENTARY SCHOOL,Arvada,1104,Kindergarten,Performance Plan,6th Grade,Performance Plan
PLATEAU VALLEY MIDDLE SCHOOL,Collbran,1105,6th Grade,Performance Plan,8th Grade,Performance Plan
MEAD ELEMENTARY SCHOOL,Mead,1106,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
VAN ARSDALE ELEMENTARY SCHOOL,Arvada,1107,Kindergarten,Performance Plan,6th Grade,Performance Plan
PIONEER RIDGE ELEMENTARY SCHOOL,Johnstown,1108,Kindergarten,Performance Plan,5th Grade,Performance Plan
HAAFF ELEMENTARY SCHOOL,Pueblo,1109,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
RYE ELEMENTARY SCHOOL,Rye,1110,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
SIERRA VISTA ELEMENTARY SCHOOL,Pueblo West,1111,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
SANFORD JUNIOR/SENIOR HIGH SCHOOL,Sanford,1112,7th Grade,Performance Plan,12th Grade,Performance Plan
ROSS MONTESSORI SCHOOL,Carbondale,1113,Kindergarten,Performance Plan,8th Grade,Performance Plan
ROSS MONTESSORI SCHOOL,Carbondale,1114,Kindergarten,Performance Plan,8th Grade,Performance Plan
LOWRY ELEMENTARY SCHOOL,Denver,1115,Pre-Kindergarten,Performance Plan,5th Grade,Improvement Plan
ENGLEWOOD LEADERSHIP ACADEMY,Englewood,1116,6th Grade,Performance Plan,9th Grade,Performance Plan
MC CLAVE UNDIVIDED HIGH SCHOOL,Mc Clave,1117,7th Grade,Performance Plan,12th Grade,Performance Plan
WEBBER MIDDLE SCHOOL,Fort Collins,1118,6th Grade,Performance Plan,8th Grade,Performance Plan
PRAIRIE ELEMENTARY SCHOOL,New Raymer,1119,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
PATTERSON ELEMENTARY SCHOOL,Lakewood,1120,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
WINDSOR MIDDLE SCHOOL,Windsor,1121,6th Grade,Performance Plan,8th Grade,Performance Plan
HIGHLAND ELEMENTARY SCHOOL,Rifle,1122,Pre-Kindergarten,Performance Plan,4th Grade,Performance Plan
CHAPPELOW K-8 MAGNET SCHOOL,Evans,1123,Kindergarten,Performance Plan,8th Grade,Performance Plan
MONTCLAIR ELEMENTARY SCHOOL,Denver,1124,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
MONARCH K-8 SCHOOL,Louisville,1125,Kindergarten,Performance Plan,8th Grade,Performance Plan
RYAN ELEMENTARY SCHOOL,Lafayette,1126,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
RANCH VIEW MIDDLE SCHOOL,Highlands Ranch,1127,7th Grade,Performance Plan,8th Grade,Performance Plan
SAGEWOOD MIDDLE SCHOOL,Parker,1128,7th Grade,Performance Plan,8th Grade,Performance Plan
EAST GRAND MIDDLE SCHOOL,Granby,1129,6th Grade,Performance Plan,8th Grade,Performance Plan
HUTCHINSON ELEMENTARY SCHOOL,Lakewood,1130,Kindergarten,Performance Plan,6th Grade,Performance Plan
PRESTON MIDDLE SCHOOL,Fort Collins,1131,6th Grade,Performance Plan,8th Grade,Performance Plan
LUCILE ERWIN MIDDLE SCHOOL,Loveland,1132,6th Grade,Performance Plan,8th Grade,Performance Plan
VASSAR ELEMENTARY SCHOOL,Aurora,1133,Kindergarten,Performance Plan,5th Grade,Performance Plan
CREEKSIDE ELEMENTARY SCHOOL AT MARTIN PARK,Boulder,1134,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
SAMUELS ELEMENTARY SCHOOL,Denver,1135,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
AXL ACADEMY,Aurora,1136,Kindergarten,Improvement Plan,6th Grade,Improvement Plan
SUMMIT ELEMENTARY SCHOOL,Aurora,1137,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
PUEBLO CHARTER SCHOOL FOR THE ARTS & SCIENCES,Pueblo,1138,Kindergarten,Performance Plan,8th Grade,Performance Plan
SKY VIEW MIDDLE SCHOOL,Pueblo West,1139,6th Grade,Performance Plan,8th Grade,Performance Plan
CENTURY MIDDLE SCHOOL,Thornton,1140,6th Grade,Performance Plan,8th Grade,Performance Plan
PARK ELEMENTARY SCHOOL,Durango,1141,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
PEYTON JUNIOR/SENIOR HIGH SCHOOL,Peyton,1142,7th Grade,Performance Plan,12th Grade,Performance Plan
DILLON VALLEY ELEMENTARY SCHOOL,Dillon,1143,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
KEMP ELEMENTARY SCHOOL,Commerce City,1144,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
BYERS ELEMENTARY SCHOOL,Byers,1145,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
MADISON EXPLORATORY SCHOOL,Canon City,1146,1st Grade,Performance Plan,6th Grade,Performance Plan
MOORE K-8 SCHOOL,Denver,1147,Pre-Kindergarten,Performance Plan,8th Grade,Improvement Plan
MOORE K-8 SCHOOL,Denver,1148,Pre-Kindergarten,Performance Plan,8th Grade,Improvement Plan
EAGLESIDE ELEMENTARY SCHOOL,Fountain,1149,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
JEFFERSON CHARTER ACADEMY JUNIOR HIGH SCHOOL,Broomfield,1150,7th Grade,Performance Plan,8th Grade,Performance Plan
PLAINVIEW ELEMENTARY SCHOOL,Sheridan Lake,1151,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
CORWIN INTERNATIONAL MAGNET SCHOOL,Pueblo,1152,4th Grade,Performance Plan,8th Grade,Performance Plan
BEULAH MIDDLE SCHOOL,Beulah,1153,6th Grade,Performance Plan,8th Grade,Performance Plan
PRAIRIE WINDS ELEMENTARY SCHOOL,Pueblo West,1154,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
SARGENT JUNIOR HIGH SCHOOL,Monte Vista,1155,7th Grade,Performance Plan,8th Grade,Performance Plan
SILVERTON MIDDLE SCHOOL,Silverton,1156,6th Grade,Performance Plan,8th Grade,Performance Plan
BIG THOMPSON ELEMENTARY SCHOOL,Loveland,1157,Kindergarten,Performance Plan,5th Grade,Performance Plan
MISSION VIEJO ELEMENTARY SCHOOL,Aurora,1158,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
IMAGINE CHARTER,Firestone,1159,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
IMAGINE CHARTER,Firestone,1160,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
GRANBY ELEMENTARY SCHOOL,Granby,1161,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
CANON CITY MIDDLE SCHOOL,Canon City,1162,6th Grade,Performance Plan,8th Grade,Performance Plan
ROXBOROUGH INTERMEDIATE,Littleton,1163,3rd Grade,Performance Plan,6th Grade,Performance Plan
LIBERTY JUNIOR-SENIOR HIGH SCHOOL,Joes,1164,7th Grade,Performance Plan,12th Grade,Performance Plan
PIONEER BILINGUAL ELEMENTARY SCHOOL,Lafayette,1165,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
LAS ANIMAS ELEMENTARY SCHOOL,Las Animas,1166,Kindergarten,Performance Plan,5th Grade,Performance Plan
LINCOLN ELEMENTARY SCHOOL,Loveland,1167,Kindergarten,Performance Plan,5th Grade,Performance Plan
WELDON VALLEY ELEMENTARY SCHOOL,Weldona,1168,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
LAWRENCE ELEMENTARY SCHOOL,Arvada,1169,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
PARR ELEMENTARY SCHOOL,Arvada,1170,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
DRAKE JUNIOR HIGH SCHOOL,Arvada,1171,7th Grade,Performance Plan,8th Grade,Performance Plan
CENTENNIAL ELEMENTARY SCHOOL,Broomfield,1172,Kindergarten,Performance Plan,5th Grade,Performance Plan
NORTH ARVADA MIDDLE SCHOOL,Arvada,1173,7th Grade,Performance Plan,8th Grade,Performance Plan
TIMBERLINE ELEMENTARY SCHOOL,Centennial,1174,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
UTE PASS ELEMENTARY SCHOOL,Chipita Park,1175,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
LOMA ELEMENTARY SCHOOL,Loma,1176,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
AURORA WEST COLLEGE PREPARATORY ACADEMY,Aurora,1177,6th Grade,Performance Plan,8th Grade,Performance Plan
HARRY L MC GINNIS MIDDLE SCHOOL,Buena Vista,1178,6th Grade,Performance Plan,8th Grade,Performance Plan
MERRILL MIDDLE SCHOOL,Denver,1179,6th Grade,Performance Plan,8th Grade,Improvement Plan
ELBERT ELEMENTARY SCHOOL,Elbert,1180,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
IDALIA JUNIOR-SENIOR HIGH SCHOOL,Idalia,1181,7th Grade,Performance Plan,12th Grade,Performance Plan
CARDINAL COMMUNITY ACADEMY CHARTER SCHOOL,Keenesburg,1182,Kindergarten,Performance Plan,8th Grade,Performance Plan
VALLEY VIEW K-8,Denver,1183,Kindergarten,Performance Plan,8th Grade,Performance Plan
VALLEY VIEW K-8,Denver,1184,Kindergarten,Performance Plan,8th Grade,Performance Plan
BELMONT ELEMENTARY SCHOOL,Pueblo,1185,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
VINELAND MIDDLE SCHOOL,Pueblo,1186,6th Grade,Performance Plan,8th Grade,Performance Plan
WALSH ELEMENTARY SCHOOL,Walsh,1187,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
TWOMBLY ELEMENTARY SCHOOL,Fort Lupton,1188,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
ESCALANTE MIDDLE SCHOOL,Durango,1189,6th Grade,Performance Plan,8th Grade,Performance Plan
SUNSET MIDDLE SCHOOL,Longmont,1190,6th Grade,Performance Plan,8th Grade,Performance Plan
GALILEO SCHOOL OF MATH AND SCIENCE,Colorado Springs,1191,6th Grade,Performance Plan,7th Grade,Performance Plan
KELLER ELEMENTARY SCHOOL,Colorado Springs,1192,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
FAIRVIEW ELEMENTARY SCHOOL,Denver,1193,Pre-Kindergarten,Performance Plan,5th Grade,Improvement Plan
ALPINE ELEMENTARY SCHOOL,Longmont,1194,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
DOUGLASS VALLEY ELEMENTARY SCHOOL,Usaf Academy,1195,Kindergarten,Performance Plan,5th Grade,Performance Plan
ARAGON ELEMENTARY SCHOOL,Fountain,1196,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
VIRGINIA COURT ELEMENTARY SCHOOL,Aurora,1197,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
BETHUNE JUNIOR-SENIOR HIGH SCHOOL,Bethune,1198,7th Grade,Performance Plan,12th Grade,Performance Plan
SURFACE CREEK VISION SCHOOL,Cedaredge,1199,Kindergarten,Performance Plan,12th Grade,Performance Plan
SURFACE CREEK VISION SCHOOL,Cedaredge,1200,Kindergarten,Performance Plan,12th Grade,Performance Plan
SMITH ELEMENTARY SCHOOL,Denver,1201,Pre-Kindergarten,Performance Plan,5th Grade,Priority Improvement Plan
CARSON MIDDLE SCHOOL,Fort Carson,1202,6th Grade,Performance Plan,8th Grade,Performance Plan
PATRIOT ELEMENTARY SCHOOL,Fort Carson,1203,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
LAB ELEMENTARY SCHOOL FOR CREATIVE LEARNING,Fort Collins,1204,Kindergarten,Performance Plan,6th Grade,Performance Plan
WESTVIEW ELEMENTARY SCHOOL,Northglenn,1205,Kindergarten,Performance Plan,5th Grade,Performance Plan
HAXTUN ELEMENTARY SCHOOL,Haxtun,1206,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
HAXTUN ELEMENTARY SCHOOL,Haxtun,1207,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
HOLYOKE ELEMENTARY SCHOOL,Holyoke,1208,Kindergarten,Performance Plan,5th Grade,Performance Plan
KIOWA ELEMENTARY SCHOOL,Kiowa,1209,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
COLUMBINE MIDDLE SCHOOL,Montrose,1210,6th Grade,Performance Plan,8th Grade,Performance Plan
BILL REED MIDDLE SCHOOL,Loveland,1211,6th Grade,Performance Plan,8th Grade,Performance Plan
ALTURA ELEMENTARY SCHOOL,Aurora,1212,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
STRATTON ELEMENTARY SCHOOL,Colorado Springs,1213,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
CUSTER COUNTY ELEMENTARY SCHOOL,Westcliffe,1214,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
GARDEN PLACE ELEMENTARY SCHOOL,Denver,1215,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
MILLER MIDDLE SCHOOL,Durango,1216,6th Grade,Performance Plan,8th Grade,Performance Plan
PANORAMA MIDDLE SCHOOL,Colorado Springs,1217,6th Grade,Performance Plan,8th Grade,Performance Plan
HOEHNE ELEMENTARY SCHOOL,Hoehne,1218,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
ZERGER ELEMENTARY SCHOOL,Westminster,1219,Kindergarten,Performance Plan,6th Grade,Performance Plan
HUDSON ELEMENTARY SCHOOL,Hudson,1220,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
LA VETA JUNIOR-SENIOR HIGH SCHOOL,La Veta,1221,7th Grade,Performance Plan,12th Grade,Performance Plan
OTIS JUNIOR-SENIOR HIGH SCHOOL,Otis,1222,7th Grade,Performance Plan,12th Grade,Performance Plan
SALIDA MIDDLE SCHOOL,Salida,1223,5th Grade,Performance Plan,8th Grade,Performance Plan
SANFORD ELEMENTARY SCHOOL,Sanford,1224,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
SOUTH MIDDLE SCHOOL,Aurora,1225,6th Grade,Performance Plan,8th Grade,Performance Plan
NORTH FORK VISION SCHOOL,Delta,1226,Infant,Improvement Plan,12th Grade,Improvement Plan
NORTH FORK VISION SCHOOL,Delta,1227,Infant,Improvement Plan,12th Grade,Improvement Plan
LETFORD ELEMENTARY SCHOOL,Johnstown,1228,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
BROOMFIELD HEIGHTS MIDDLE SCHOOL,Broomfield,1229,6th Grade,Performance Plan,8th Grade,Performance Plan
TELLER ELEMENTARY SCHOOL,Denver,1230,Pre-Kindergarten,Performance Plan,5th Grade,Improvement Plan
GLENWOOD SPRINGS MIDDLE SCHOOL,Glenwood Springs,1231,6th Grade,Performance Plan,8th Grade,Performance Plan
STETSON ELEMENTARY SCHOOL,Colorado Springs,1232,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
SPROUL JUNIOR HIGH SCHOOL,Colorado Springs,1233,7th Grade,Performance Plan,8th Grade,Performance Plan
CIMARRON MIDDLE,Parker,1234,7th Grade,Performance Plan,8th Grade,Performance Plan
SIERRA GRANDE ELEMENTARY SCHOOL,Blanca,1235,Kindergarten,Performance Plan,5th Grade,Performance Plan
KNAPP ELEMENTARY SCHOOL,Denver,1236,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
DESERT SAGE ELEMENTARY SCHOOL,Pueblo West,1237,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
GREENWOOD ELEMENTARY SCHOOL,Denver,1238,Pre-Kindergarten,Performance Plan,8th Grade,Improvement Plan
GREENWOOD ELEMENTARY SCHOOL,Denver,1239,Pre-Kindergarten,Performance Plan,8th Grade,Improvement Plan
BANNING LEWIS RANCH ACADEMY,Colorado Springs,1240,Kindergarten,Performance Plan,8th Grade,Performance Plan
TRUSCOTT ELEMENTARY SCHOOL,Loveland,1241,Kindergarten,Performance Plan,5th Grade,Performance Plan
CAPROCK ACADEMY,Grand Junction,1242,Kindergarten,Performance Plan,9th Grade,Performance Plan
CAPROCK ACADEMY,Grand Junction,1243,Kindergarten,Performance Plan,9th Grade,Performance Plan
LIBERTY MIDDLE SCHOOL,Aurora,1244,6th Grade,Performance Plan,8th Grade,Performance Plan
PLACE BRIDGE ACADEMY,Denver,1245,Pre-Kindergarten,Performance Plan,8th Grade,Improvement Plan
PLACE BRIDGE ACADEMY,Denver,1246,Pre-Kindergarten,Performance Plan,8th Grade,Improvement Plan
BLEVINS MIDDLE SCHOOL,Fort Collins,1247,6th Grade,Performance Plan,8th Grade,Performance Plan
CHERRY DRIVE ELEMENTARY SCHOOL,Thornton,1248,Kindergarten,Performance Plan,5th Grade,Performance Plan
TRAYLOR ELEMENTARY SCHOOL,Denver,1249,Pre-Kindergarten,Performance Plan,5th Grade,Improvement Plan
